chapter-counter,verse-counter,arabic-verse-weight
6,77,4983
6,78,6462
6,79,4124
6,80,6519
6,81,6612
6,82,3012
6,83,3856
6,84,4254
6,85,912
6,86,1939
6,87,3855
6,88,2554
6,89,3828
6,90,3508
6,91,13482
6,92,8653
6,93,17233
6,94,11837
6,95,4927
6,96,3391
6,97,5055
6,98,4559
6,99,18261
6,100,5429
6,101,4594
6,102,3042
6,103,2581
6,104,3273
6,105,3026
6,106,2870
6,107,3075
6,108,6565
6,109,4471
6,110,4382
6,111,4435
6,112,8706
6,113,7140
6,114,8578
6,115,2906
6,116,6315
6,117,2282
6,118,2589
6,119,8706
6,120,5329
6,121,4441
6,122,6597
6,123,4032
6,124,9961
6,125,7125
6,126,3844
6,127,1248
6,128,12077
6,129,3948
6,130,8968
6,131,3796
6,132,2621
6,133,8487
6,134,1778
6,135,4823
6,136,7225
6,137,6691
6,138,7946
6,139,6215
6,140,7031
6,141,14990
6,142,4592
6,143,8854
6,144,15257
6,145,10635
6,146,11709
6,147,4232
6,148,13132
6,149,2873
6,150,9829
6,151,11709
6,152,10164
6,153,6576
6,154,5422
6,155,3514
6,156,4330
6,157,9092
6,158,13963
6,159,4338
6,160,4390
6,161,3467
6,162,1929
6,163,2351
6,164,10034
6,165,8811
7,0,786
7,1,161
7,2,4046
7,3,3770
7,4,1847
7,5,2558
7,6,2117
7,7,1888
7,8,2761
7,9,4957
7,10,3388
7,11,4047
7,12,6132
7,13,4177
7,14,2077
7,15,1573
7,16,3062
7,17,4764
7,18,3399
7,19,6752
7,20,6184
7,21,765
7,22,9555
7,23,5489
7,24,4713
7,25,3066
7,26,6578
7,27,7471
7,28,4818
7,29,3016
7,30,5585
7,31,4173
7,32,8546
7,33,8298
7,34,4023
7,35,3958
7,36,4095
7,37,11255
7,38,14935
7,39,5728
7,40,7843
7,41,3855
7,42,3669
7,43,10945
7,44,6719
7,45,4040
7,46,3454
7,47,5058
7,48,4698
7,49,5415
7,50,3886
7,51,7116
7,52,2185
7,53,12319
7,54,13668
7,55,3623
7,56,4243
7,57,11866
7,58,7550
7,59,5485
7,60,1880
7,61,2597
7,62,3213
7,63,5296
7,64,6009
7,65,3763
7,66,4573
7,67,1882
7,68,2395
7,69,9609
7,70,4053
7,71,8956
7,72,4595
7,73,12017
7,74,11590
7,75,6660
7,76,3301
7,77,4476
7,78,3672
7,79,5002
7,80,3439
7,81,3372
7,82,3105
7,83,2781
7,84,3071
7,85,10853
7,86,9456
7,87,5041
7,88,6885
7,89,9472
7,90,4724
7,91,3672
7,92,6185
7,93,5037
7,94,5215
7,95,8105
7,96,6270
7,97,1802
7,98,2143
7,99,2200
7,100,5177
7,101,5639
7,102,2294
7,103,5817
7,104,1551
7,105,3152
7,106,2863
7,107,1909
7,108,3034
7,109,2081
7,110,3818
7,111,2052
7,112,908
7,113,2975
7,114,961
7,115,1492
7,116,3139
7,117,2217
7,118,767
7,119,2772
7,120,974
7,121,665
7,122,586
7,123,6680
7,124,2423
7,125,762
7,126,4856
7,127,7388
7,128,5114
7,129,7821
7,130,4800
7,131,6037
7,132,2817
7,133,4675
7,134,4010
7,135,3555
7,136,5177
7,137,11525
7,138,3978
7,139,1284
7,140,3847
7,141,6236
7,142,8611
7,143,11071
7,144,5023
7,145,8176
7,146,15233
7,147,4433
7,148,6898
7,149,5142
7,150,13954
7,151,4797
7,152,8448
7,153,4700
7,154,7304
7,155,17203
7,156,10750
7,157,15248
7,158,7688
7,159,1198
7,160,15708
7,161,8146
7,162,6490
7,163,11033
7,164,8218
7,165,6898
7,166,2750
7,167,7181
7,168,4511
7,169,19309
7,170,3622
7,171,8847
7,172,10381
7,173,4015
7,174,1988
7,175,5529
7,176,12350
7,177,4150
7,178,2862
7,179,6990
7,180,3018
7,181,1757
7,182,3657
7,183,757
7,184,2682
7,185,6723
7,186,3539
7,187,10296
7,188,8650
7,189,10164
7,190,3321
7,191,2567
7,192,1747
7,193,3181
7,194,4011
7,195,6105
7,196,2148
7,197,3207
7,198,3260
7,199,3444
7,200,4498
7,201,5330
7,202,3022
7,203,6548
7,204,3540
7,205,7578
7,206,2890
8,0,786
8,1,4457
8,2,6974
8,3,2345
8,4,3801
8,5,2841
8,6,3056
8,7,7731
8,8,1054
8,9,5350
8,10,2534
8,11,6919
8,12,8301
8,13,3328
8,14,3220
8,15,4229
8,16,6244
8,17,5352
8,18,1440
8,19,8965
8,20,3114
8,21,2008
8,22,2127
